movie_id,average_rating,vote_count,rating_distribution
1087192,8.1,1193,"5:0,6:0,7:0,8:0,9:0,10:0"
1071585,7.696,457,"5:0,6:0,7:0,8:0,9:0,10:0"
552524,7.284,1030,"5:0,6:0,7:0,8:0,9:0,10:0"
1311031,6.8,18,"5:0,6:0,7:0,8:0,9:0,10:0"
1315986,6.823,31,"5:0,6:0,7:0,8:0,9:0,10:0"
1061474,7.4,1125,"5:0,6:0,7:0,8:0,9:0,10:0"
1011477,7.241,528,"5:0,6:0,7:0,8:0,9:0,10:0"
1119878,7.025,139,"5:0,6:0,7:0,8:0,9:0,10:0"
1124619,5.815,27,"5:0,6:0,7:0,8:0,9:0,10:0"
617126,7.3,211,"5:0,6:0,7:0,8:0,9:0,10:0"
541671,7.5,1131,"5:0,6:0,7:0,8:0,9:0,10:0"
1234821,6.4,783,"5:0,6:0,7:0,8:0,9:0,10:0"
1374534,5.871,93,"5:0,6:0,7:0,8:0,9:0,10:0"
803796,8.53,775,"5:0,6:0,7:0,8:0,9:0,10:0"
986056,7.4,1973,"5:0,6:0,7:0,8:0,9:0,10:0"
574475,7.187,1729,"5:0,6:0,7:0,8:0,9:0,10:0"
1058537,5.452,21,"5:0,6:0,7:0,8:0,9:0,10:0"
846422,6.062,538,"5:0,6:0,7:0,8:0,9:0,10:0"
749170,6.952,540,"5:0,6:0,7:0,8:0,9:0,10:0"
968171,6.056,9,"5:0,6:0,7:0,8:0,9:0,10:0"
911430,7.6,882,"5:0,6:0,7:0,8:0,9:0,10:0"
1326106,7.842,38,"5:0,6:0,7:0,8:0,9:0,10:0"
7451,5.951,4480,"5:0,6:0,7:0,8:0,9:0,10:0"
1357933,7.6,10,"5:0,6:0,7:0,8:0,9:0,10:0"
1429744,6.638,116,"5:0,6:0,7:0,8:0,9:0,10:0"
947478,8.0,8,"5:0,6:0,7:0,8:0,9:0,10:0"
615453,7.9,568,"5:0,6:0,7:0,8:0,9:0,10:0"
1136867,6.836,152,"5:0,6:0,7:0,8:0,9:0,10:0"
1268870,7.0,2,"5:0,6:0,7:0,8:0,9:0,10:0"
1406607,10.0,2,"5:0,6:0,7:0,8:0,9:0,10:0"
1151031,7.4,311,"5:0,6:0,7:0,8:0,9:0,10:0"
611251,8.0,4,"5:0,6:0,7:0,8:0,9:0,10:0"
1287536,6.843,70,"5:0,6:0,7:0,8:0,9:0,10:0"
1269208,6.514,74,"5:0,6:0,7:0,8:0,9:0,10:0"
675308,6.6,22,"5:0,6:0,7:0,8:0,9:0,10:0"
575265,7.2,961,"5:0,6:0,7:0,8:0,9:0,10:0"
1246369,9.2,9,"5:0,6:0,7:0,8:0,9:0,10:0"
1275003,4.273,11,"5:0,6:0,7:0,8:0,9:0,10:0"
950387,6.443,2107,"5:0,6:0,7:0,8:0,9:0,10:0"
1236197,8.1,20,"5:0,6:0,7:0,8:0,9:0,10:0"
1087891,6.99,910,"5:0,6:0,7:0,8:0,9:0,10:0"
1241634,6.595,37,"5:0,6:0,7:0,8:0,9:0,10:0"
1243341,6.994,80,"5:0,6:0,7:0,8:0,9:0,10:0"
1278950,5.875,112,"5:0,6:0,7:0,8:0,9:0,10:0"
1233413,7.573,2116,"5:0,6:0,7:0,8:0,9:0,10:0"
1083433,5.984,93,"5:0,6:0,7:0,8:0,9:0,10:0"
605722,6.4,170,"5:0,6:0,7:0,8:0,9:0,10:0"
1403735,5.8,5,"5:0,6:0,7:0,8:0,9:0,10:0"
1084153,5.792,24,"5:0,6:0,7:0,8:0,9:0,10:0"
11845,6.25,525,"5:0,6:0,7:0,8:0,9:0,10:0"
715287,7.4,25,"5:0,6:0,7:0,8:0,9:0,10:0"
1257586,5.958,48,"5:0,6:0,7:0,8:0,9:0,10:0"
1100988,7.1,615,"5:0,6:0,7:0,8:0,9:0,10:0"
1425045,5.8,337,"5:0,6:0,7:0,8:0,9:0,10:0"
1442776,6.269,26,"5:0,6:0,7:0,8:0,9:0,10:0"
1294949,8.143,14,"5:0,6:0,7:0,8:0,9:0,10:0"
1010581,7.794,3755,"5:0,6:0,7:0,8:0,9:0,10:0"
1414272,7.3,10,"5:0,6:0,7:0,8:0,9:0,10:0"
1103731,7.833,6,"5:0,6:0,7:0,8:0,9:0,10:0"
1241982,7.061,2574,"5:0,6:0,7:0,8:0,9:0,10:0"
1311844,6.0,61,"5:0,6:0,7:0,8:0,9:0,10:0"
1197306,6.692,1385,"5:0,6:0,7:0,8:0,9:0,10:0"
259872,6.0,104,"5:0,6:0,7:0,8:0,9:0,10:0"
1354253,10.0,1,"5:0,6:0,7:0,8:0,9:0,10:0"
1376434,7.964,743,"5:0,6:0,7:0,8:0,9:0,10:0"
1020910,6.207,263,"5:0,6:0,7:0,8:0,9:0,10:0"
736350,10.0,1,"5:0,6:0,7:0,8:0,9:0,10:0"
1246310,5.815,46,"5:0,6:0,7:0,8:0,9:0,10:0"
870028,7.185,1149,"5:0,6:0,7:0,8:0,9:0,10:0"
1090007,5.5,32,"5:0,6:0,7:0,8:0,9:0,10:0"
1181039,6.846,27,"5:0,6:0,7:0,8:0,9:0,10:0"
713364,6.319,174,"5:0,6:0,7:0,8:0,9:0,10:0"
936108,6.6,34,"5:0,6:0,7:0,8:0,9:0,10:0"
173705,6.386,35,"5:0,6:0,7:0,8:0,9:0,10:0"
1429834,6.7,16,"5:0,6:0,7:0,8:0,9:0,10:0"
822119,6.041,2423,"5:0,6:0,7:0,8:0,9:0,10:0"
950396,7.725,2827,"5:0,6:0,7:0,8:0,9:0,10:0"
